,year_month,time,country,sky,temperature,streams,af_danceability,af_energy,af_key,af_loudness,af_speechiness,af_acousticness,af_valence,af_tempo
0,201801,1,United States,0.300845170454545,31.73512252042,2282281225.0,0.7120159271899885,0.6160003250446936,5.581504956931578,-6.361036892572729,0.1323511620347797,0.1699904761904761,0.4499252397204615,121.42530602957908
1,201802,2,United States,0.464498750780762,40.1751879699248,2201218632.0,0.7124914285714287,0.6160758928571429,5.608392857142857,-6.395776071428571,0.132539125,0.1710202867857143,0.4517005,120.91912732142858
2,201803,3,United States,0.413124660510592,38.6591787439614,2510433792.0,0.7170074193548387,0.6203320967741935,5.57483870967742,-6.391238870967741,0.1328680806451612,0.1741835733870967,0.4574438709677419,120.79366774193548
3,201804,4,United States,0.429779622209502,46.8832305795314,2700911924.0,0.7120770000000001,0.6292531666666668,5.590166666666667,-6.3502645,0.1388923333333333,0.1792497711666666,0.4505501166666666,123.0212285
4,201805,5,United States,0.445743220528911,62.3492990654205,2660144924.0,0.7085983870967743,0.6302548387096774,5.551935483870968,-6.276582580645161,0.1389357258064516,0.1945752901612903,0.4439257903225806,123.50280161290324
5,201806,6,United States,0.329833199356913,69.0907730673317,2643193009.0,0.7032418333333333,0.6242655666666667,5.4545,-6.249493333333334,0.1404905833333333,0.206246258,0.4399105833333333,124.7465465
6,201807,7,United States,0.200163031257027,75.8396551724138,2709741839.0,0.7150333870967742,0.6106275806451613,5.313387096774194,-6.57011564516129,0.1435559193548387,0.2062336125806451,0.420402193548387,125.8493843548387
7,201808,8,United States,0.262068965517241,77.0860072376357,2602465431.0,0.7100137096774194,0.6176414516129032,5.428709677419355,-6.257964516129032,0.1321808387096774,0.214806385,0.422930435483871,125.98512903225809
8,201809,9,United States,0.488885414400696,70.4308139534883,2534878749.0,0.7125426666666668,0.6185716666666666,5.431166666666667,-6.402537000000001,0.14748595,0.2223954731666667,0.4249655,125.36700883333332
9,201810,10,United States,0.416673329069396,58.5517156862745,2639432245.0,0.7216362903225807,0.614755,5.348870967741935,-6.3708404838709685,0.1499946451612903,0.2104549161290322,0.4293831935483871,123.90000822580645
10,201811,11,United States,0.449597666187369,45.2689054726369,2497397049.0,0.7005003333333334,0.5961555,5.191333333333334,-6.7706815,0.1352300166666666,0.2508646783333333,0.4322892499999999,123.0462355
11,201812,12,United States,0.399685866785277,40.8520142180094,2803948705.0,0.6916629032258065,0.5649310951612904,5.129354838709677,-7.327964193548387,0.1332711935483871,0.2956827364516129,0.4581405806451613,122.5698670967742
12,201901,13,United States,0.384720708446867,33.9478260869565,2596845754.0,0.7246761290322581,0.596440306451613,5.398225806451613,-6.563923709677419,0.1407110322580645,0.2330065374193548,0.4271889193548387,123.11838241935484
13,201902,14,United States,0.367007992007992,35.1143617021277,2562913251.0,0.7207183928571429,0.5952616071428571,5.439464285714286,-6.627186607142858,0.1435844642857142,0.2319467367857142,0.4288826071428571,123.38186178571428
14,201903,15,United States,0.379736598890943,39.7219264892268,2610633495.0,0.7237495161290323,0.5931026290322581,5.539516129032258,-6.526244193548387,0.1464271935483871,0.2362936575806451,0.4378705161290323,121.91810370967742
15,201904,16,United States,0.430804335424986,52.3916174734357,2485672238.0,0.712828,0.5787201666666667,5.413833333333334,-7.001201,0.1514296333333333,0.2579565518333333,0.4399176333333333,119.95992733333334
16,201905,17,United States,0.485544307822769,59.0418308227115,2483176530.0,0.7103356451612903,0.5962873387096774,5.426451612903226,-6.742200322580645,0.1480926451612903,0.2426830429032258,0.4570422903225807,120.79446629032256
17,201906,18,United States,0.303405662566721,69.8976303317536,2317379936.0,0.7168433333333334,0.608838,5.322333333333333,-6.4948923333333335,0.13722235,0.2271770425,0.4722074166666666,121.12954933333332
18,201907,19,United States,0.251165385919313,78.0595561035759,2423708645.0,0.720265806451613,0.609075,5.154677419354838,-6.392158064516129,0.1462316290322581,0.2270712001612903,0.4735588225806451,120.08562854838708
19,201908,20,United States,0.274130057155665,74.5959858323495,2391188556.0,0.7164940161290322,0.5971703064516128,5.174516129032258,-6.610179032258064,0.1474051774193548,0.2305186289354838,0.4748929516129032,120.59748096774192
20,201909,21,United States,0.248411754467394,69.3213422818792,2478297403.0,0.7121336666666667,0.5975925833333333,5.124833333333333,-6.444366333333333,0.14409665,0.2406658196666666,0.4743895166666667,120.9669875
21,201910,22,United States,0.4552122514777,59.9104693140794,2449656374.0,0.710036935483871,0.5999417419354839,5.283709677419355,-6.287020483870968,0.1514460967741935,0.2443356959677419,0.4752729838709678,120.43568725806452
22,201911,23,United States,0.295537716916539,44.1780132450331,2252575853.0,0.6952998333333333,0.5864374333333333,5.368,-6.578174833333333,0.1446691333333333,0.2674326053333333,0.4817900166666666,121.637598
23,201912,24,United States,0.416616275051831,38.7308805790107,2740432401.0,0.671889193548387,0.5578178870967743,5.294677419354839,-7.36379870967742,0.1266444032258064,0.3054002775806452,0.4851564838709677,122.5706741935484
24,201801,1,Norway,0.553827474560592,24.412027027027,144283944.0,0.6577130589760207,0.6282393551523008,5.118600129617628,-6.291079714841219,0.0986351911860013,0.2251523896629941,0.435852138690862,117.4120476344783
25,201802,2,Norway,0.506796116504854,20.1787810383747,132259502.0,0.6656430357142857,0.6298609642857143,4.96125,-6.287711428571429,0.1012581785714285,0.2042081073214285,0.4351951785714285,119.55290214285714
26,201803,3,Norway,0.514401355421687,23.3948228882834,145141425.0,0.665125,0.641725,4.965322580645161,-6.143525806451613,0.0991295,0.202040747032258,0.4450055967741936,118.71212403225806
