"","V1","time","country","valence","sky","temperature"
"1","201801",1,"us",0.448498935483874,0.300845170454545,31.73512252042
"2","201802",2,"us",0.451688928571432,0.464498750780762,40.1751879699248
"3","201803",3,"us",0.457355709677425,0.413124660510592,38.6591787439614
"4","201804",4,"us",0.450444616666672,0.429779622209502,46.8832305795314
"5","201805",5,"us",0.443891193548392,0.445743220528911,62.3492990654205
"6","201806",6,"us",0.439895916666667,0.329833199356913,69.0907730673317
"7","201807",7,"us",0.420378354838706,0.200163031257027,75.8396551724138
"8","201808",8,"us",0.422916709677413,0.262068965517241,77.0860072376357
"9","201809",9,"us",0.424956533333332,0.488885414400696,70.4308139534883
"10","201810",10,"us",0.429276129032258,0.416673329069396,58.5517156862745
"11","201811",11,"us",0.432203416666663,0.449597666187369,45.2689054726369
"12","201812",12,"us",0.458095032258065,0.399685866785277,40.8520142180094
"13","201901",13,"us",0.427168435483871,0.384720708446867,33.9478260869565
"14","201902",14,"us",0.428841785714281,0.367007992007992,35.1143617021277
"15","201903",15,"us",0.43783003225806,0.379736598890943,39.7219264892268
"16","201904",16,"us",0.439884866666671,0.430804335424986,52.3916174734357
"17","201905",17,"us",0.457008483870969,0.485544307822769,59.0418308227115
"18","201906",18,"us",0.472183749999997,0.303405662566721,69.8976303317536
"19","201907",19,"us",0.47352172580645,0.251165385919313,78.0595561035759
"20","201908",20,"us",0.474802387096772,0.274130057155665,74.5959858323495
"21","201909",21,"us",0.474202649999997,0.248411754467394,69.3213422818792
"22","201910",22,"us",0.475114435483866,0.4552122514777,59.9104693140794
"23","201911",23,"us",0.481618016666663,0.295537716916539,44.1780132450331
"24","201912",24,"us",0.485162499999999,0.416616275051831,38.7308805790107
"25","201801",1,"no",0.435807419354838,0.553827474560592,24.412027027027
"26","201802",2,"no",0.435097017857145,0.506796116504854,20.1787810383747
"27","201803",3,"no",0.444957306451619,0.514401355421687,23.3948228882834
"28","201804",4,"no",0.449201733333335,0.449537937743191,39.6734177215191
"29","201805",5,"no",0.466673435483878,0.399400684931507,59.4414634146343
"30","201806",6,"no",0.472151383333337,0.329508196721311,61.9551675977655
"31","201807",7,"no",0.483750241935483,0.32525,70.1395537525356
"32","201808",8,"no",0.458266854838709,0.356745479833102,58.7348648648651
"33","201809",9,"no",0.441629033333336,0.389024390243902,52.1913043478261
"34","201810",10,"no",0.440902564516131,0.483811748998665,42.3945725915875
"35","201811",11,"no",0.449802233333337,0.572695412064571,35.1956338028168
"36","201812",12,"no",0.45165332258065,0.519115532118888,25.7672554347827
"37","201901",13,"no",0.433087483870973,0.499017857142857,22.4913580246914
