region,year_month,streams,af_danceability,af_energy,af_key,af_loudness,af_speechiness,af_acousticness,af_valence,af_tempo
Austria,201801,29863910.0,0.6912488441215324,0.6846172391017173,5.122357992073976,-5.846571829590489,0.11937628797886395,0.17512435782694846,0.4864463507265522,117.67418692206077
Austria,201802,28286988.0,0.6957595549973085,0.6938428135654047,5.238471200430648,-5.7428236138525035,0.12132869190741073,0.17613757706800648,0.4867378790597524,119.09073120401938
Austria,201803,32582416.0,0.6929946765607355,0.6939004678173898,5.415066946281659,-5.739988223907082,0.12069251492176158,0.17855911679303113,0.4926353444103888,118.74588143248911
Austria,201804,33626060.0,0.6839259999999999,0.6945383333333334,5.4015,-5.722928666666666,0.12138204999999999,0.17427264666666667,0.47374885,119.24742066666666
Austria,201805,35093811.0,0.6856943548387098,0.690435806451613,5.301451612903226,-5.672861129032258,0.1208501935483871,0.18371740096774195,0.4721164838709677,117.40672258064517
Austria,201806,37393544.0,0.6932988333333333,0.6838649666666666,5.322666666666667,-5.788983666666667,0.13688363333333334,0.2001814582,0.4832426,117.33149633333333
Austria,201807,39026030.0,0.6914675806451613,0.6878854838709678,5.286290322580645,-5.908452580645162,0.1347031451612903,0.19655602548387097,0.4869082741935484,117.49310451612904
Austria,201808,43972444.0,0.6813095161290322,0.6798463064516128,5.434677419354839,-6.398260161290323,0.11338416129032258,0.1967219091935484,0.4783278387096774,117.5153893548387
Austria,201809,40892390.0,0.6961619333333333,0.6801876666666667,5.145666666666667,-6.1031645,0.14337998333333332,0.19593744923333334,0.47589405,117.20051266666667
Austria,201810,44636019.0,0.6983237096774193,0.6743551612903227,5.134354838709678,-6.116378225806451,0.14650775806451613,0.2060014327419355,0.4645929193548387,118.36989016129033
Austria,201811,40977026.0,0.6932088333333333,0.6650606666666666,5.120333333333333,-6.170841333333334,0.14034565,0.21371818,0.4761249833333333,119.72815616666668
Austria,201812,51484276.0,0.6650122580645161,0.6306355193548387,5.403225806451613,-6.762512419354838,0.11604598387096773,0.2716521548387097,0.5106200645161291,119.47601983870968
Austria,201901,43609115.0,0.7110114516129031,0.6668364516129033,5.616935483870968,-6.063541935483871,0.1319475806451613,0.2141671212903226,0.46853280645161294,119.35833935483872
